contig_id	IT1_A	IT1_B	IT1_C	IT2_A	IT2_B	IT2_C	IT3_A	IT3_B	IT3_C	IT4_A	IT4_B	IT4_C	length
IT4_3162485	6	17	12	0	14	8	12	16	18	20	33	13	3303
IT4_316275	30	71	44	26	36	35	45	26	35	64	51	60	7931
IT4_3163471	165	156	164	129	132	132	133	136	144	230	260	174	16428
IT4_316375	12	16	8	14	10	4	16	10	31	40	36	30	3831
IT4_3163874	51	84	110	76	50	57	32	50	62	103	102	65	10243
IT4_3165197	20	23	32	8	15	10	8	2	10	24	34	26	4139
IT4_3165275	42	65	67	54	37	24	33	50	57	93	128	92	11222
IT4_3165297	6	17	7	18	6	5	8	15	18	24	32	34	3529
IT4_3165506	28	42	28	36	28	28	34	52	24	69	58	55	6733
IT4_3165558	193	202	305	192	97	171	189	147	180	377	423	358	11558
IT4_3166214	12	11	18	5	4	0	7	14	10	32	21	22	3102
IT4_316636	38	42	79	32	21	24	18	22	27	56	28	22	3280
IT4_3166395	80	115	140	83	50	86	70	77	103	135	142	116	5443
IT4_3166953	2	6	12	9	0	6	8	12	4	24	44	34	3095
IT4_3167554	18	27	39	18	13	18	20	36	42	100	112	80	8504
IT4_3168469	51	70	57	47	48	43	46	68	63	82	88	76	4312
